"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2013,11,469.0,27942.0,1000
"MRT.1.05",2013,12,365.0,16826.0,1000
"MRT.1.05",2013,13,1831.0,83550.0,1000
"MRT.1.05",2013,14,274.0,11677.0,1000
"MRT.1.05",2013,15,3052.0,146623.0,1000
"MRT.1.05",2013,16,414.0,16725.0,1000
"MRT.1.05",2013,17,445.0,25061.0,1000
"MRT.1.05",2013,21,2603.0,121612.0,1000
"MRT.1.05",2013,22,952.0,47554.0,1000
"MRT.1.05",2013,23,2193.0,129982.0,1000
"MRT.1.05",2013,24,840.0,48442.0,1000
"MRT.1.05",2013,25,1012.0,57750.0,1000
"MRT.1.05",2013,26,2384.0,142501.0,1000
"MRT.1.05",2013,27,1028.0,54926.0,1000
"MRT.1.05",2013,28,624.0,34582.0,1000
"MRT.1.05",2013,29,4326.0,208047.0,1000
"MRT.1.05",2013,31,3966.0,261789.0,1000
"MRT.1.05",2013,32,708.0,55472.0,1000
"MRT.1.05",2013,33,3390.0,225522.0,1000
"MRT.1.05",2013,35,8195.0,613824.0,1000
"MRT.1.05",2013,41,2023.0,157213.0,1000
"MRT.1.05",2013,42,1084.0,90617.0,1000
"MRT.1.05",2013,43,1729.0,142308.0,1000
"MRT.1.05",2013,50,679.0,43007.0,1000
"MRT.1.05",2013,51,1030.0,54663.0,1000
"MRT.1.05",2013,52,1597.0,96382.0,1000
"MRT.1.05",2013,53,628.0,44727.0,1000
"MRT.1.05",2014,11,500.0,28134.0,1000
"MRT.1.05",2014,12,389.0,17480.0,1000
"MRT.1.05",2014,13,1648.0,86043.0,1000
"MRT.1.05",2014,14,270.0,11944.0,1000
"MRT.1.05",2014,15,2871.0,149188.0,1000
"MRT.1.05",2014,16,392.0,16933.0,1000
"MRT.1.05",2014,17,425.0,25860.0,1000
"MRT.1.05",2014,21,2411.0,122693.0,1000
"MRT.1.05",2014,22,941.0,48855.0,1000
